,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
26,Available in consultation,2400000,10959,Bath,Resale,A  ,,Mechanical ventilation and sliding door,Back garden,CH boiler and complete floor heating,CH boiler,Double glazing and floor insulation,,2 ,219,In residential district,2  ,5  ,2,,,Sold under reservation,Paid parking and resident's parking permits,,646,1913,https://www.funda.nl/en/koop/amsterdam/appartement-42613522-de-lairessestraat-50-h,,No,,No,"Gas-fired combination boiler from 2021, in ownership",,,No,No,,No,No,,Double ground-floor apartment (apartment),,,,,,, northwest,,65  ,,amst,4 , 2 ,
27,Available in consultation,375000,3788,,Resale,B  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","Single-family home, row house",4 ,99,In residential district,1 ,5  ,3,126,,Sold under reservation,Public parking,Gable  covered with  tiles,287,1984,https://www.funda.nl/en/koop/amsterdam/huis-42694682-wethouder-serrurierstraat-101,,,,,"Nefit HR (gas-fired combination boiler, in ownership)",5,,,,,,,Detached brick storage,,,,,,,, southeast ,,54  ,,amst,4 ,,
28,Available in consultation,595000,8623,,Resale,,1,,,,,,,7 ,69,,,3  ,2,,,Available,,,374,1902,https://www.funda.nl/en/koop/amsterdam/appartement-42674633-da-costakade-63-h,,No,,No,,,Grou ,No,No,G ,No,No,,Ground-floor apartment (apartment), 67.00  ,,,,,75 ,,,,,amst,2 ,,
29,Available in consultation,1385000,8994,"Bath, 3 showers and 3 toilets",Resale,,14,"Electricity, heating and running water",,CH boiler,CH boiler,No insulation,,2 ,154,In center,3  ,6  ,3,,"Heritage listed, listed building (national monument) and monumental building",Available,"Paid parking, public parking and resident's parking permits",Pyramid hip  covered with  tiles,455,1906,https://www.funda.nl/en/koop/amsterdam/appartement-88077470-spuistraat-253-iii,,Yes,Roof terrace ,Yes,Hoog rendement met hydrofoor (in ownership),4,3 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 255.00  ,,,,,,,,,,amst,3 , 1 , 255.00 
30,Available immediately,595000,7000,,Resale,E  ,,,,CH boiler,CH boiler,,,6+ ,85,In center,,3  ,1,,,Available,Paid parking and resident's parking permits,,256,1905,https://www.funda.nl/en/koop/amsterdam/appartement-87565649-kuiperssteeg-5-b,,Yes,French balcony ,No,,2,1 ,No,No,,No,No,Built-in,Mezzanine (apartment), 96.00  ,,,,,,,,,,amst,2 ,,
31,Available in consultation,300000,9677,Toilet,Resale,,3,,,Communal central heating,CH boiler,Partly double glazed,,0,31,,1 ,2  ,1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,84,,https://www.funda.nl/en/koop/amsterdam/appartement-42629227-korte-geuzenstraat-104,,Yes,Balcony ,No,,,,Yes,Yes,,Yes,Yes,,Galleried apartment (apartment),,,,,,,,,,1931-1944,amst,1 ,,
32,Available in consultation,900000,7143,Bath and shower,Resale,A  ,,Mechanical ventilation and TV via cable,Back garden,CH boiler,CH boiler,Double glazing,,0,126,Alongside a quiet road and in residential district,1  ,5  ,2,,,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,400,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42637392-reinier-claeszenstraat-78-h,,Yes,,Yes,"Intergas HRE (gas-fired from 2017, in ownership)",,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 120.00  ,,,,,, east,,61  ,,amst,4 , 1 , 120.00 
33,Available in consultation,350000,7609,Shower and toilet,Resale,D   ,6,TV via cable,,CH boiler,CH boiler,Double glazing,,0,46,Alongside a quiet road and in residential district,1 ,3  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Combination ,150,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42620246-chassestraat-12-2,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",6,2 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 116.00  ,,,,,,,,,,amst,2 ,, 116.00 
34,Available immediately,450000,9783,,Resale,C  ,,Electricity,,CH boiler,,,,4 ,46,,1  ,2  ,4,,,Sold under reservation,Paid parking,,138,1988,https://www.funda.nl/en/koop/amsterdam/appartement-88989655-elandsgracht-82-c,,Yes,,Yes,"2018, in ownership",,3 ,Yes,Yes,,No,Yes,Built-in,Upstairs apartment (apartment),,,,,,6 ,,,,,amst,1 , 1 ,
35,Available in consultation,950000,7422,"Bath, shower and toilet",Resale,D  ,31,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Partly double glazed,,6 ,128,In center,2  ,5  ,2,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and  tiles,434,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42696333-rooseveltlaan-40-ii,,Yes,Roof terrace  and balcony ,Yes,"Remeha (gas-fired combination boiler from 2011, in ownership)",,,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 204.12  ,,,,,,,,,,amst,3 , 1 , 204.12 
36,Available in consultation,400000,4255,Shower,Resale,A  ,13,,,CH boiler,CH boiler,Double glazing,,0,94,,1  ,3  ,1,,,Available,Parking garage,,307,2006,https://www.funda.nl/en/koop/amsterdam/appartement-42637020-osdorper-ban-613,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",,,Yes,Yes,,Yes,Yes,,Apartment with shared street entrance (apartment),,, 121  ,,,,,,,,amst,2 , 1 ,
37,Available in consultation,437100,4460,2 showers and 2 toilets,New,,,,Back garden,"District heating, complete floor heating and heat pump",District heating,Completely insulated,,6+ ,98,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",2  ,5  ,2,,,Sold under reservation,Parking garage,Flat  covered with asphalt ing and other,279,2022,https://www.funda.nl/en/koop/amsterdam/appartement-41282890-tip-maruggstraat-bouwnr-woonwerk-4,,,,,,,1 ,,,A ,,,,Maisonnette (apartment),,,,,Parking place,,,,27  ,,amst,3 , 1 ,
38,Available in consultation,489000,4109,Bath and toilet,Resale,B  ,,Electricity,Patio/atrium,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",3 ,119,"Alongside a quiet road, sheltered location and in residential district",1  ,5  ,2,94,Partly furnished with carpets and curtains,Available,Public parking,Flat  covered with asphalt ing,407,1998,https://www.funda.nl/en/koop/amsterdam/huis-42616862-morrahof-6,,,,,"Intergas (gas-fired from 2018, in ownership)",,,,,,,,Built-in,,,,,,,, southeast,,,,amst,3 , 1 ,
39,Available in consultation,375000,9146,Shower,Resale,E  ,5,TV via cable,,CH boiler,CH boiler,Double glazing,,0,41,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",1  ,3  ,1,,Partly furnished with carpets and curtains,Available,Paid parking and resident's parking permits,Mansard  covered with asphalt ing,131,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42626715-hobbemakade-65-e,,Yes,Balcony ,Yes,"HR (gas-fired combination boiler, in ownership)",,2 ,Yes,No,,Yes,Yes,,Upstairs apartment (apartment), 131.00  ,,,,,,,,,,amst,1 , 1 ,
40,Available in consultation,400000,7018,Toilet,Resale,D  ,7,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,57,Alongside busy road and in residential district,1 ,3  ,1,,Listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,167,1927,https://www.funda.nl/en/koop/amsterdam/appartement-42693029-hoofdweg-387-3,,Yes,Balcony ,Yes,"HR Intergas (gas-fired combination boiler from 2014, in ownership)",9,3 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 135.00  ,,,,,,,,,,amst,1 ,, 135.00 
41,Available in consultation,550000,6962,Shower,Resale,A   ,5,Electricity,,CH boiler,CH boiler,Double glazing,,2 ,79,Alongside a quiet road and in residential district,1  ,5  ,2,,,Available,Paid parking and resident's parking permits,Gable  covered with  tiles,230,1919,https://www.funda.nl/en/koop/amsterdam/appartement-42654923-putterstraat-24,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",4,1 ,Yes,Yes ,,Yes,Yes,Storage box,Maisonnette (apartment), 89.20  ,Energie Prestatie Advies,,,,,,,,,amst,3 , 1 , 89.20 
42,Available in consultation,365000,10139,,Resale,C   ,9,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,3 ,36,Alongside a quiet road,1  ,2  ,1,,,Available,Paid parking and resident's parking permits,,120,1912,https://www.funda.nl/en/koop/amsterdam/appartement-42603067-jan-bernardusstraat-7-iii,,No,Balcony  and french balcony ,Yes,"Remeha Tzerra (gas-fired from 2018, in ownership)",,4 ,No,Yes,,Yes,No,,Upstairs apartment (apartment),,, 130  ,,,,,,,,amst,1 , 1 ,
43,Available in consultation,585000,7134,Bath and shower,Resale,,5,"Elevator, sliding door and TV via cable",,,CH boiler,Double glazing,,0,82,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",1  ,3  ,1,,Partly furnished with carpets and curtains,Available,"Paid parking, public parking and resident's parking permits",,253,1979,https://www.funda.nl/en/koop/amsterdam/appartement-42635905-iepenplein-96,,Yes,Balcony ,Yes,,7,3 ,Yes,Yes ,B ,Yes,Yes,,Mezzanine (apartment), 243.29  ,Energie Prestatie Advies,,,,,,,,,amst,2 , 1 , 243.29 
45,Available in consultation,425000,7589,Shower and toilet,Resale,,7,Mechanical ventilation,,CH boiler,CH boiler,"Double glazing, energy efficient window and floor insulation",,0,56,Alongside a quiet road and in residential district,1 ,3  ,1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,184,1935,https://www.funda.nl/en/koop/amsterdam/appartement-42635965-willem-de-zwijgerlaan-88-3,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",4,3 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 119.17  ,,,,,,,,,,amst,2 ,, 119.17 
46,Available immediately,445000,5933,Shower,Resale,,5,Electrical door,,District heating,,,,5 ,75,,1 ,2  ,1,,,Under offer,"Paid parking, parking on gated property and parking on private property",,235,2002,https://www.funda.nl/en/koop/amsterdam/appartement-88806447-borneolaan-167,,Yes,Balcony ,Yes,,3,1 ,Yes,Yes ,B ,Yes,Yes,Built-in,Mezzanine, 124.64  ,,,,Built-in and parking place,,,1 car,,,amst,1 ,, 124.64 
47,Available in consultation,1095000,8295,Bath and shower,Resale,,,,,CH boiler and gas heaters,CH boiler,Partly double glazed,,0,132,Alongside water and in center,1  ,4  ,2,,"Protected townscape or village view (permit needed for alterations), listed building (national monument) and monumental building",Available,"Paid parking, public parking and resident's parking permits",,553,1715,https://www.funda.nl/en/koop/amsterdam/appartement-42614036-kloveniersburgwal-61-a,,Yes,,Yes,"Remeha (gas-fired combination boiler from 2020, in ownership)",3,Grou ,Yes,No,,Yes,Yes,Storage box,Ground-floor apartment (apartment), 214.00  ,,,,,,,,,,amst,1 , 1 ,
48,Available in consultation,400000,7407,Shower and toilet,Resale,D  ,4,Electricity,,CH boiler,CH boiler,Roof insulation and double glazing,,3 ,54,Alongside a quiet road and in residential district,1 ,3  ,1,,Partly furnished with carpets and curtains,Under offer,Paid parking,Flat  covered with asphalt ing,180,1935,https://www.funda.nl/en/koop/amsterdam/appartement-88065123-adriaan-van-bergenstraat-6-iii,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler, in ownership)",5,4 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 119.17  ,,,,,,,,,,amst,2 ,, 119.17 
49,Available in consultation,425000,9043,Shower,Resale,,7,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,5 ,47,"Alongside busy road, in center and in residential district",1  ,3  ,1,,,Sold under reservation,Paid parking and resident's parking permits,Gable  covered with  tiles,150,1899,https://www.funda.nl/en/koop/amsterdam/appartement-42551557-jan-pieter-heijestraat-139-3,,Yes,Balcony  and french balcony ,Yes,"Intergas 28/24 (gas-fired combination boiler from 2021, in ownership)",,3 ,Yes,Yes,G ,Yes,Yes,,Upstairs apartment (apartment),,Energie Prestatie Advies,,,,,,,,,amst,2 , 1 ,
50,Available in consultation,600000,5128,Shower and toilet,Resale,A  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",3 ,117,In residential district,1  ,5  ,3,126,,Sold under reservation,Parking on private property,Gable  covered with  tiles,416,2014,https://www.funda.nl/en/koop/amsterdam/huis-88908182-eeuwige-jeugdlaan-20,,,,,"Intergas (gas-fired combination boiler from 2014, in ownership)",7,,,,,,,Detached wooden storage,,,,,,,, south ,,73  ,,amst,4 , 1 ,
51,Available in consultation,460000,6765,Shower,Resale,C  ,6,Electricity,,CH boiler,CH boiler,Double glazing,,2 ,68,Alongside a quiet road,1 ,3  ,1,,,Under offer,Paid parking and resident's parking permits,Flat  covered with asphalt ing,225,,https://www.funda.nl/en/koop/amsterdam/appartement-88072384-wagenaarstraat-401,,Yes,,Yes,"Remeha (gas-fired combination boiler from 2016, in ownership)",7,1 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 138.96  ,,,,,,,,,1971-1980,amst,2 ,, 138.96 
52,Available in consultation,1150000,6425,Toilet,Resale,A  ,12,Electrical door,,District heating,CH boiler and district heating,,,0,179,In residential district,1  ,4  ,1,,,Available,,Flat  covered with other,580,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42639565-amstelvlietstraat-221,,Yes,Balcony ,Yes,,6,2 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 198.00  ,,,,Built-in,,,1 car,,,amst,3 , 1 , 198.00 
